No.,problem,answer
1, 神久保（八千代市）,いものくぼ
2, 桑納（八千代市）,かんのう
3, 飯山満（船橋市）,はさま
4, 実籾（習志野市）,みもみ
5, 生谷（佐倉市）,おぶかい
6, 神門（佐倉市）,ごうど
7, 中尾余町（佐倉市）,なかびょうまち
8, 先崎（佐倉市）,まっさき
9, 五十土町（千葉市若葉区）,いかづちちょう
10, 小食土町（千葉市緑区）,やさしどちょう
11, 生実町（千葉市中央区）,おゆみちょう
12, 登戸（千葉市中央区）,のぶと
13, 亥鼻（千葉市中央区）,いのはな
14, 作草部（千葉市稲毛区）,さくさべ
15, 園生町（千葉市稲毛区）,そんのうちょう
16, 大谷流（八街市）,おおやる
17, 四木（八街市）,しもく
18, 文違（八街市）,ひじかい
19, 用草（八街市）,もちくさ
20, 鹿放ケ丘（四街道市）,ろっぽうがおか
21, 南波佐間（四街道市）,なばさま
22, 廿五里（市原市）,ついへいじ
23, 海士有木（市原市）,あまありき
24, 新生（市原市）,あらおい
25, 分目（市原市）,わんめ
26, 飯給（市原市）,いたぶ
27, 不入斗（市原市）,いりやまず
28, 新妻（成田市）,にっつま
29, 馬乗里（成田市）,まじょうり
30, 取香（成田市）,とっこう
31, 冬父（成田市）,とぶ
32, 酒々井（印旛郡）,しすい
33, 四箇（印旛郡）,しか
34, 稲荷木（市川市）,とうかぎ
35, 国府台（市川市）,こうのだい
36, 北方町（市川市）,ぼっけまち
37, 猫実（浦安市）,ねこざね
38, 木下（印西市）,きおろし
39, 発作（印西市）,ほっさく
40, 草深（印西市）,そうふけ
41, 将監（印西市）,しょうげん
42, 安食卜杭（印西市）,あじきぼっくい
43, 神々廻（白井市）,ししば
44, 都部（我孫子市）,いちぶ
45, 日秀（我孫子市）,ひびり
46, 逆井（柏市）,さかさい
47, 十余二（柏市）,とよふた
48, 三ヶ月（松戸市）,みこぜ
49, 五香（松戸市）,ごこう
50, 名都借（流山市）,なづかり
51, 安布里（館山市）,あぶり
52, 出野尾（館山市）,いでのお
53, 神余（館山市）,かなまり
54, 上真倉（館山市）,かみさなぐら
55, 見物（館山市）,けんぶつ
56, 香（館山市）,こうやつ
57, 坂足（館山市）,さかだる
58, 布良（館山市）,めら
59, 山荻（館山市）,やもおぎ
60, 丹生（南房総市）,にゅう
61, 久枝（南房総市）,くし
62, 検儀谷（南房総市）,けぎや
63, 平久里下（南房総市）,へぐりしも
64, 御子神（南房総市）,みこがみ
65, 磑森（南房総市）,するすもり
66, 仁我浦（南房総市）,にがうら
67, 真浦（南房総市）,もうら
68, 白渚（南房総市）,しらすか
69, 海発（南房総市）,かいほつ
70, 安馬谷（南房総市）,あんばや
71, 平舘（南房総市）,へだて
72, 忽戸（南房総市）,こっと
73, 千代（南房総市）,せんだい
74, 本織（南房総市）,もとおり
75, 大帷子（安房郡鋸南町）,おおかたびら
76, 大崩（安房郡鋸南町）,おくずれ
77, 宇藤原（富津市）,うとうばら
78, 売津（富津市）,うるづ
79, 海良（富津市）,かいら
80, 小志駒（富津市）,こじこま
81, 桜井総稱鬼泪山（富津市）,さくらいそうしょうきなだやま
82, 望井（富津市）,もちい
83, 豊英（君津市）,とよふさ
84, 平田（君津市）,ひらった
85, 釜生（君津市）,かもう
86, 怒田（君津市）,ぬだ
87, 芋窪（君津市）,いもくぼ
88, 久留里（君津市）,くるり
89, 尾車（君津市）,びしゃ
90, 草牛（君津市）,そうぎゅう
91, 六手（君津市）,むて
92, 三直（君津市）,みのう
